  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.2.2.RELEASE)

2020-08-28 12:15:16.389  INFO 5296 --- [           main] c.e.b.BatchProcessingApplication         : Starting BatchProcessingApplication on LAPTOP-1GMJA3G0 with PID 5296 (started by Masaki Teshigahara in C:\Users\Masaki Teshigahara\Documents\gradle-batch)
2020-08-28 12:15:16.393  INFO 5296 --- [           main] c.e.b.BatchProcessingApplication         : No active profile set, falling back to default profiles: default
2020-08-28 12:15:17.575  INFO 5296 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-08-28 12:15:17.583  WARN 5296 --- [           main] com.zaxxer.hikari.util.DriverDataSource  : Registered driver with driverClassName=org.hsqldb.jdbcDriver was not found, trying direct instantiation.
2020-08-28 12:15:18.023  INFO 5296 --- [           main] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Driver does not support get/set network timeout for connections. (feature not supported)
2020-08-28 12:15:18.027  INFO 5296 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-08-28 12:15:18.155  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : teshi:JobCompletionNotificationListener instance
2020-08-28 12:15:18.175  INFO 5296 --- [           main] c.e.batchprocessing.BatchConfiguration   : teshi:Data analysis and conversion to Peson
2020-08-28 12:15:18.195  INFO 5296 --- [           main] c.e.batchprocessing.BatchConfiguration   : teshi:The process of changing characters to uppercase
2020-08-28 12:15:18.195  INFO 5296 --- [           main] c.e.batchprocessing.BatchConfiguration   : teshi:Write to SQL database
2020-08-28 12:15:18.203  INFO 5296 --- [           main] c.e.batchprocessing.BatchConfiguration   : teshi:STEP start
2020-08-28 12:15:18.246  INFO 5296 --- [           main] c.e.batchprocessing.BatchConfiguration   : teshi:JOB start
2020-08-28 12:15:18.342  INFO 5296 --- [           main] o.s.b.c.r.s.JobRepositoryFactoryBean     : No database type set, using meta data indicating: HSQL
2020-08-28 12:15:18.614  INFO 5296 --- [           main] o.s.b.c.l.support.SimpleJobLauncher      : No TaskExecutor has been set, defaulting to synchronous executor.
2020-08-28 12:15:18.739  INFO 5296 --- [           main] c.e.b.BatchProcessingApplication         : Started BatchProcessingApplication in 2.965 seconds (JVM running for 3.711)
2020-08-28 12:15:18.743  INFO 5296 --- [           main] o.s.b.a.b.JobLauncherCommandLineRunner   : Running default command line with: []
2020-08-28 12:15:18.831  INFO 5296 --- [           main] o.s.b.c.l.support.SimpleJobLauncher      : Job: [FlowJob: [name=importUserJob]] launched with the following parameters: [{run.id=1}]
2020-08-28 12:15:18.895  INFO 5296 --- [           main] o.s.batch.core.job.SimpleStepHandler     : Executing step: [step1]
2020-08-28 12:15:18.963  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Get first name date
2020-08-28 12:15:18.963  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Set Name
